Parameter,S1,ST,S1_conf,ST_conf
ke_1,-6.003088819554159e-08,2.0932069896744138e-11,2.759491524076152e-07,4.8280847192710316e-12
ke_2,1.975376807603075e-08,1.178020881641741e-11,1.8993982322881492e-07,2.3134235066107984e-12
a_ed,0.0,0.0,0.0,0.0
d_o,-1.1732138159421523e-07,2.4027290867515936e-11,3.1947038238044813e-07,3.886270989357065e-12
k_12,8.418668325730556e-09,9.358247650234293e-11,6.208717439283632e-07,1.2513822809515036e-11
k_21,3.6387756636169058e-09,2.952635595794151e-13,3.862451467452996e-08,5.4161471368548084e-14
d_1,-1.8075692560662324e-07,2.1224068995640092e-10,7.930348788808973e-07,2.7666555089526738e-11
d_2,-8.041243623502218e-09,1.7631446083747456e-12,9.224378128970322e-08,3.9487868351809095e-13
k_o,-7.572602615566265e-06,1.3054896058237666e-06,7.581459987363651e-05,1.8120611268810958e-07
k_1,3.531315826999023e-07,1.3054391575722697e-09,1.7907221205929777e-06,2.1309483788534713e-10
d_c1,0.0003922845052781317,0.00045877919316342393,0.0012419102071517414,4.885297122556665e-05
k_2,-2.791986228684212e-09,1.3414958482319482e-13,2.147927798564493e-08,4.003482031006855e-14
k_3,7.437143483778658e-09,1.568340235177189e-14,8.335696366770463e-09,3.673765165160037e-15
d_c2,5.3281919653152954e-05,1.5491817908269474e-06,7.53765379367712e-05,2.3280070494066938e-07
K_lm,-2.066724019283344e-06,4.881194516898052e-07,4.9787041628995305e-05,8.410089328653302e-08
k_lb,-9.959010192694422e-09,4.5110617944927966e-13,4.1606499879900425e-08,9.057763305914018e-14
d_b,0.09870215429453026,0.11421478737502694,0.020394303975873614,0.009929255354726059
p_cs,-1.6795441017825116e-15,5.361532753686754e-27,3.648556630009414e-15,8.695265990928779e-27
q_cd1,2.791586914759616e-17,6.8694021816990615e-31,4.488651239329165e-17,8.066697349582546e-31
q_cd2,9.466197035780564e-18,1.5657275721364795e-31,2.5721621748380068e-17,1.5593698848023396e-32
p_bs,3.0466749539213623e-18,5.129653716048257e-32,1.3347224695562287e-17,1.1087863950675752e-32
q_bd,0.0,0.0,0.0,0.0
aed,2.4821654899392575e-08,6.669792267803836e-11,5.194508820159848e-07,1.4753153042244574e-11
kmax,1.1511492600560783e-11,5.289051570083142e-19,4.2219594632418426e-11,7.086390301736168e-20
Mmax,-2.967542992488821e-14,2.0705917989276296e-23,2.9392937173065626e-13,6.917345448518896e-24
k_01,4.629118387280884e-07,3.3080017830360333e-10,1.096258180351022e-06,5.887723042536443e-11
a_01,2.076912201507562e-11,2.7078213884655187e-18,1.0150085220036245e-10,3.7248602205708077e-19
k_02,1.7872151427521756e-07,1.295157039489954e-10,6.958023813685098e-07,2.077318653479628e-11
a_02,9.099336679263684e-10,5.7458355479039314e-15,4.207017716921583e-09,1.0695230352095557e-15
a_12,-3.518061074211188e-05,1.0758983182611587e-06,6.40917241085354e-05,1.5031468005155652e-07
a_22,-1.4282558420353505e-09,8.334551594412245e-14,1.592950141659677e-08,2.0168262986069614e-14
kpm,0.07394038466687411,0.09972732896843273,0.019330857340115838,0.010530815513980931
apm,-2.7454842407014847e-05,1.7947007161855364e-05,0.0002622243989852236,1.9927515473186664e-06
apm1,0.06491344916706149,0.09527216044387758,0.016960211269350916,0.010009562226537745
dm,0.34319061057529565,0.4010576890119005,0.0330225744077725,0.03036033923263399
amb1,0.3464086119016489,0.38612043114791006,0.03385388345329024,0.02884236983787827
kpb,0.0025488138793612414,0.0024242437584756226,0.00298979223912169,0.0002446748941553814
apb,-7.936500740000283e-05,0.0020272446993523856,0.003125537614001195,0.00022559386261849034
ae2,-4.302122585606944e-06,5.026560781955878e-06,0.00013602842341382378,7.586611859016978e-07
E2max,0.00032228107425608777,0.00023396212714957152,0.0009197589877707337,2.608918036016701e-05
de2,-2.4726502372394772e-05,1.1334126200672763e-06,7.202921142012518e-05,1.612171161346985e-07
